BEOGRAD,MALI_POZAREVAC,UMCARI,VODANJ,KOLARI,SMEDEREVO,POZAREVAC,VELIKA_PLANA,MARKOVAC,LAPOVO,BATOCINA,JAGODINA,CUPRIJA,PARACIN,RAZANJ,ALEKS_RUDNICI,ALEKSINAC,NIS_JUG,MEROSINA,DOLJEVAC,BRESTOVAC,LESKOVAC_CENTAR,LESKOVAC_JUG,GRDELICA,PREDEJANE,VLADUCIN_HAN,VRANJE,BUJANOVAC_SEVER,BUJANOVAC_JUG,PRESEVO,CICEVAC,KRUSEVAC_ISTOK,KRUSEVAC_ZAPAD,VELIKA_DRENOVA,TRSTENIK,VRNJACKA_BANJA,NIS_SEVER,NIS_ISTOK,NIS_MALCA,BELA_PALANKA,PIROT_ZAPAD,PIROT_ISTOK,DIMITROVGRAD
X,100,140,170,200,230,240,400,460,500,520,640,710,770,900,1010,1040,1170,1200,1260,1290,1330,1420,1480,1550,1640,1770,1840,1860,1970,850,950,960,1030,1100,1160,1170,1200,1250,1410,1540,1600,1740
100,X,40,70,100,130,140,300,360,400,420,540,610,670,800,910,940,1070,1100,1160,1190,1230,1320,1380,1450,1540,1670,1740,1760,1870,750,850,860,930,1000,1060,1070,1100,1140,1310,1440,1500,1640
140,40,X,30,70,100,110,270,330,370,390,510,580,640,770,880,910,1040,1070,1130,1160,1200,1290,1350,1420,1510,1640,1710,1730,1840,720,810,820,890,960,1020,1030,1070,1110,1270,1410,1470,1600
170,70,30,X,30,60,70,230,290,330,350,470,540,600,730,840,870,1000,1030,1090,1120,1160,1250,1310,1380,1470,1600,1670,1690,1800,680,780,790,860,930,990,1000,1040,1080,1240,1370,1430,1570
200,100,70,30,X,30,40,200,260,290,310,430,500,560,700,810,840,970,1000,1060,1090,1130,1220,1280,1340,1440,1560,1640,1660,1770,650,740,750,830,900,960,970,1000,1040,1210,1340,1400,1540
230,130,100,60,30,X,10,170,230,260,280,400,470,530,670,780,810,940,970,1030,1060,1100,1190,1250,1310,1410,1530,1610,1630,1740,620,710,720,800,870,920,930,970,1010,1180,1310,1370,1500
240,140,110,70,40,10,X,160,220,250,270,390,460,500,660,770,800,930,960,1020,1050,1090,1180,1240,1300,1400,1520,1600,1620,1730,590,710,720,790,860,920,930,960,1000,1170,1300,1360,1500
400,300,270,230,200,170,160,X,60,100,120,240,310,370,500,610,640,770,810,860,900,940,1020,1080,1150,1240,1370,1440,1460,1570,450,550,560,630,700,760,770,810,850,1010,1140,1200,1340
460,360,330,290,260,230,220,60,X,30,60,170,240,300,440,550,580,710,740,800,830,870,960,1020,1090,1180,1310,1380,1400,1510,390,490,490,570,640,700,710,740,780,950,1080,1140,1280
500,400,370,330,290,260,250,100,30,X,20,140,210,270,400,520,540,680,710,760,800,840,930,990,1050,1150,1280,1350,1360,1480,350,450,460,530,600,660,670,710,750,910,1050,1110,1240
520,420,390,350,310,280,270,120,60,20,X,120,190,250,380,500,520,660,690,740,780,820,910,970,1030,1130,1260,1330,1340,1460,330,430,440,510,580,640,650,690,730,890,1020,1090,1220
640,540,510,470,430,400,390,240,170,140,120,X,70,130,260,380,400,540,570,620,660,700,790,850,910,1010,1130,1200,1220,1340,210,310,320,390,460,520,530,570,610,770,910,970,1100
710,610,580,540,500,470,460,310,240,210,190,70,X,60,190,310,330,470,500,550,590,630,720,780,840,940,1050,1130,1150,1270,140,240,250,320,390,450,460,500,540,700,840,900,1030
770,670,640,600,560,530,500,370,300,270,250,130,60,X,140,250,270,410,440,500,530,570,660,720,780,880,1000,1080,1100,1210,90,180,190,260,340,390,400,440,480,640,780,840,970
900,800,770,730,700,670,660,500,440,400,380,260,190,140,X,110,140,270,300,360,390,430,520,580,650,740,870,940,960,1070,90,190,200,270,340,400,270,300,340,510,640,700,840
1010,910,880,840,810,780,770,610,550,520,500,380,310,250,110,X,30,160,190,250,280,320,410,470,540,630,760,830,850,960,200,300,310,380,450,510,160,190,230,400,530,590,730
1040,940,910,870,840,810,800,640,580,540,520,400,330,270,140,30,X,130,160,220,250,290,380,440,510,600,730,800,820,930,230,320,330,410,480,540,130,160,210,370,500,560,700
1170,1070,1040,1000,970,940,930,770,710,680,660,540,470,410,270,160,130,X,30,90,120,160,250,310,370,470,590,670,690,800,360,460,470,540,610,670,30,70,110,270,410,470,600
1200,1100,1070,1030,1000,970,960,810,740,710,690,570,500,440,300,190,160,30,X,60,90,130,220,280,340,440,560,640,660,770,390,490,500,570,640,700,60,100,140,300,440,500,630
1260,1160,1130,1090,1060,1030,1020,860,800,760,740,620,550,500,360,250,220,90,60,X,30,70,160,220,290,380,510,580,600,710,450,550,560,630,700,760,120,160,200,360,500,560,690
1290,1190,1160,1120,1090,1060,1050,900,830,800,780,660,590,530,390,280,250,120,90,30,X,40,130,190,250,350,470,550,570,680,480,580,590,660,730,790,150,190,230,400,530,590,720
1330,1230,1200,1160,1130,1100,1090,940,870,840,820,700,630,570,430,320,290,160,130,70,40,X,90,150,210,310,430,510,530,640,520,620,630,700,770,830,190,230,270,440,570,630,760
1420,1320,1290,1250,1220,1190,1180,1020,960,930,910,790,720,660,520,410,380,250,220,160,130,90,X,60,130,220,350,420,440,550,610,710,720,790,860,920,280,320,360,520,660,720,850
1480,1380,1350,1310,1280,1250,1240,1080,1020,990,970,850,780,720,580,470,440,310,280,220,190,150,60,X,70,160,290,360,380,490,670,770,780,850,920,980,340,380,420,580,720,780,910
1550,1450,1420,1380,1340,1310,1300,1150,1090,1050,1030,910,840,780,650,540,510,370,340,290,250,210,130,70,X,90,220,290,310,430,740,830,840,910,990,1040,410,440,480,650,780,840,980
1640,1540,1510,1470,1440,1410,1400,1240,1180,1150,1130,1010,940,880,740,630,600,470,440,380,350,310,220,160,90,X,130,200,220,330,830,930,940,1010,1080,1140,500,540,580,740,880,940,1070
1770,1670,1640,1600,1560,1530,1520,1370,1310,1280,1260,1130,1050,1000,870,760,730,590,560,510,470,430,350,290,220,130,X,70,90,210,960,1050,1060,1130,1210,1260,630,660,700,870,1000,1060,1200
1840,1740,1710,1670,1640,1610,1600,1440,1380,1350,1330,1200,1130,1080,940,830,800,670,640,580,550,510,420,360,290,200,70,X,20,130,1030,1130,1140,1210,1280,1340,700,740,780,940,1070,1140,1270
1860,1760,1730,1690,1660,1630,1620,1460,1400,1360,1340,1220,1150,1100,960,850,820,690,660,600,570,530,440,380,310,220,90,20,X,110,1050,1150,1160,1230,1300,1360,720,760,800,960,1090,1160,1290
1970,1870,1840,1800,1770,1740,1730,1570,1510,1480,1460,1340,1270,1210,1070,960,930,800,770,710,680,640,550,490,430,330,210,130,110,X,1160,1260,1270,1340,1410,1470,830,870,810,1070,1210,1270,1400
850,750,720,680,650,620,590,450,390,350,330,210,140,90,90,200,230,360,390,450,480,520,610,670,740,830,960,1030,1050,1160,X,100,110,180,250,310,360,390,430,600,730,790,930
950,850,810,780,740,710,710,550,490,450,430,310,240,180,190,300,320,460,490,550,580,620,710,770,830,930,1050,1130,1150,1260,100,X,10,80,150,210,450,490,530,690,830,890,1020
960,860,820,790,750,720,720,560,490,460,440,320,250,190,200,310,330,470,500,560,590,630,720,780,840,940,1060,1140,1160,1270,110,10,X,70,140,200,460,500,540,700,840,900,1030
1030,930,890,860,830,800,790,630,570,530,510,390,320,260,270,380,410,540,570,630,660,700,790,850,910,1010,1130,1210,1230,1340,180,80,70,X,70,130,540,570,610,780,910,970,1110
1100,1000,960,930,900,870,860,700,640,600,580,460,390,340,340,450,480,610,640,700,730,770,860,920,990,1080,1210,1280,1300,1410,250,150,140,70,X,60,610,640,680,850,980,1040,1180
1160,1060,1020,990,960,920,920,760,700,660,640,520,450,390,400,510,540,670,700,760,790,830,920,980,1040,1140,1260,1340,1360,1470,310,210,200,130,60,X,660,700,740,910,1040,1100,1240
1170,1070,1030,1000,970,930,930,770,710,670,650,530,460,400,270,160,130,30,60,120,150,190,280,340,410,500,630,700,720,830,360,450,460,540,610,660,X,40,80,240,370,440,570
1200,1100,1070,1040,1000,970,960,810,740,710,690,570,500,440,300,190,160,70,100,160,190,230,320,380,440,540,660,740,760,870,390,490,500,570,640,700,40,X,40,210,340,400,530
1250,1140,1110,1080,1040,1010,1000,850,780,750,730,610,540,480,340,230,210,110,140,200,230,270,360,420,480,580,700,780,800,810,430,530,540,610,680,740,80,40,X,160,300,360,490
1410,1310,1270,1240,1210,1180,1170,1010,950,910,890,770,700,640,510,400,370,270,300,360,400,440,520,580,650,740,870,940,960,1070,600,690,700,780,850,910,240,210,160,X,130,190,330
1540,1440,1410,1370,1340,1310,1300,1140,1080,1050,1020,910,840,780,640,530,500,410,440,500,530,570,660,720,780,880,1000,1070,1090,1210,730,830,840,910,980,1040,370,340,300,130,X,60,200
1600,1500,1470,1430,1400,1370,1360,1200,1140,1110,1090,970,900,840,700,590,560,470,500,560,590,630,720,780,840,940,1060,1140,1160,1270,790,890,900,970,1040,1100,440,400,360,190,60,X,130
1740,1640,1600,1570,1540,1500,1500,1340,1280,1240,1220,1100,1030,970,840,730,700,600,630,690,720,760,850,910,980,1070,1200,1270,1290,1400,930,1020,1030,1110,1180,1240,570,530,490,330,200,130,X
