SUBOTICA,ZEDNIK,BACKA_TOPOLA,FEKETIC,VRBAS,ZMAJEVO,NOVI_SAD,KOVILJ,BESKA,MEDERIK,INDJIJA,STARA_PAZOVA
X,110,180,290,350,420,510,610,690,X,740,830
110,X,70,180,230,300,390,500,580,X,630,720
180,70,X,110,170,240,330,430,510,X,560,650
290,180,110,X,50,120,210,320,400,X,450,540
350,230,170,50,X,70,160,260,340,X,390,490
420,300,240,120,70,X,90,200,270,X,320,420
510,390,330,210,160,90,X,110,180,X,230,330
610,500,430,320,260,200,110,X,80,X,130,220
690,580,510,400,340,270,180,80,X,X,50,150
X,X,X,X,X,X,X,X,X,X,30,120
740,630,560,450,390,320,230,130,50,30,X,100
830,720,650,540,490,420,330,220,150,120,100,X
